Dataset	Author	Consortium	PMID	Date	Trait	EFO	Analysis	Source	Outcome	Exposure	Covariates	Outcome_Units	Exposure_Units	Methylation_Array	Tissue	Further_Details	N	N_Cohorts	Categories	Age	N_Males	N_Females	N_EUR	N_EAS	N_SAS	N_AFR	N_AMR	N_OTH
Free_cholesterol_in_small_HDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Free cholesterol in small HDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in small HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-
Triglycerides_in_small_HDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides in small HDL	EFO_0004530	-	-	DNA methylation	Triglycerides in small HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	669	1	-	48	-	669	669	-	-	-	-	-
Phospholipids_to_total_lipids_ratio_in_chylomicrons_and_XXL_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids to total lipids ratio in chylomicrons and XXL-VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipids ratio in chylomicrons and XXL-VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	613	1	-	48	-	613	613	-	-	-	-	-
Total_cholesterol_to_total_lipids_ratio_in_chylomicrons_and_XXL_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol to total lipids ratio in chylomicrons and XXL-VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol to total lipids ratio in chylomicrons and XXL-VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	638	1	-	48	-	638	638	-	-	-	-	-
Triglycerides_to_total_lipids_ratio_in_chylomicrons_and_XXL_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides to total lipids ratio in chylomicrons and XXL-VLDL	EFO_0004530	-	-	DNA methylation	Triglycerides to total lipids ratio in chylomicrons and XXL-VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	609	1	-	48	-	609	609	-	-	-	-	-
Triglycerides_to_total_lipids_ratio_in_very_large_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides to total lipids ratio in very large VLDL	EFO_0004530	-	-	DNA methylation	Triglycerides to total lipids ratio in very large VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	615	1	-	48	-	615	615	-	-	-	-	-
Phospholipids_to_total_lipds_ratio_in_large_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in large VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in large VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	621	1	-	48	-	621	621	-	-	-	-	-
Total_cholesterol_to_total_lipids_ratio_in_large_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol to total lipids ratio in large VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol to total lipids ratio in large VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	645	1	-	48	-	645	645	-	-	-	-	-
Triglycerides_to_total_lipids_ratio_in_large_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides to total lipids ratio in large VLDL	EFO_0004530	-	-	DNA methylation	Triglycerides to total lipids ratio in large VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	629	1	-	48	-	629	629	-	-	-	-	-
Phospholipids_to_total_lipds_ratio_in_medium_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in medium VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in medium VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	664	1	-	48	-	664	664	-	-	-	-	-
Total_cholesterol_to_total_lipids_ratio_in_medium_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol to total lipids ratio in medium VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol to total lipids ratio in medium VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	665	1	-	48	-	665	665	-	-	-	-	-
Cholesterol_esters_to_total_lipids_ratio_in_medium_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in medium VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in medium VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	665	1	-	48	-	665	665	-	-	-	-	-
Free_cholesterol_to_total_lipids_ratio_in_medium_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in medium VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in medium VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	661	1	-	48	-	661	661	-	-	-	-	-
Triglycerides_to_total_lipids_ratio_in_medium_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides to total lipids ratio in medium VLDL	EFO_0004530	-	-	DNA methylation	Triglycerides to total lipids ratio in medium VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	666	1	-	48	-	666	666	-	-	-	-	-
Phospholipids_to_total_lipds_ratio_in_small_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in small VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in small VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-
Total_cholesterol_to_total_lipids_ratio_in_small_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol to total lipids ratio in small VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol to total lipids ratio in small VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-
Cholesterol_esters_to_total_lipids_ratio_in_small_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in small VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in small VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-
Free_cholesterol_to_total_lipids_ratio_in_small_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in small VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in small VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-
Triglycerides_to_total_lipids_ratio_in_small_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides to total lipids ratio in small VLDL	EFO_0004530	-	-	DNA methylation	Triglycerides to total lipids ratio in small VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-
Phospholipids_to_total_lipds_ratio_in_very_small_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in very small VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in very small VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	664	1	-	48	-	664	664	-	-	-	-	-
Total_cholesterol_to_total_lipids_ratio_in_very_small_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol to total lipids ratio in very small VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol to total lipids ratio in very small VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	664	1	-	48	-	664	664	-	-	-	-	-
Cholesterol_esters_to_total_lipids_ratio_in_very_small_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in very small VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in very small VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	666	1	-	48	-	666	666	-	-	-	-	-
Free_cholesterol_to_total_lipids_ratio_in_very_small_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in very small VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in very small VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	654	1	-	48	-	654	654	-	-	-	-	-
Triglycerides_to_total_lipids_ratio_in_very_small_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides to total lipids ratio in very small VLDL	EFO_0004530	-	-	DNA methylation	Triglycerides to total lipids ratio in very small VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	666	1	-	48	-	666	666	-	-	-	-	-
Phospholipids_to_total_lipds_ratio_in_IDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in IDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in IDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	657	1	-	48	-	657	657	-	-	-	-	-
Total_cholesterol_to_total_lipids_ratio_in_IDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol to total lipids ratio in IDL	EFO_0004574	-	-	DNA methylation	Total cholesterol to total lipids ratio in IDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-
Cholesterol_esters_to_total_lipids_ratio_in_IDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in IDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in IDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	663	1	-	48	-	663	663	-	-	-	-	-
Triglycerides_to_total_lipids_ratio_in_IDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides to total lipids ratio in IDL	EFO_0004530	-	-	DNA methylation	Triglycerides to total lipids ratio in IDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-
Free_cholesterol_to_total_lipids_ratio_in_large_LDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in large LDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in large LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-
Triglycerides_to_total_lipids_ratio_in_large_LDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides to total lipids ratio in large LDL	EFO_0004530	-	-	DNA methylation	Triglycerides to total lipids ratio in large LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	665	1	-	48	-	665	665	-	-	-	-	-
Triglycerides_to_total_lipids_ratio_in_medium_LDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides to total lipids ratio in medium LDL	EFO_0004530	-	-	DNA methylation	Triglycerides to total lipids ratio in medium LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	663	1	-	48	-	663	663	-	-	-	-	-
Free_cholesterol_to_total_lipids_ratio_in_small_LDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in small LDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in small LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	666	1	-	48	-	666	666	-	-	-	-	-
Triglycerides_to_total_lipids_ratio_in_small_LDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides to total lipids ratio in small LDL	EFO_0004530	-	-	DNA methylation	Triglycerides to total lipids ratio in small LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	663	1	-	48	-	663	663	-	-	-	-	-
Phospholipids_to_total_lipds_ratio_in_very_large_HDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in very large HDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in very large HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	665	1	-	48	-	665	665	-	-	-	-	-
Total_cholesterol_to_total_lipids_ratio_in_very_large_HDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol to total lipids ratio in very large HDL	EFO_0004574	-	-	DNA methylation	Total cholesterol to total lipids ratio in very large HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-
Cholesterol_esters_to_total_lipids_ratio_in_very_large_HDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in very large HDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in very large HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-
Free_cholesterol_to_total_lipids_ratio_in_very_large_HDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in very large HDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in very large HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	661	1	-	48	-	661	661	-	-	-	-	-
Triglycerides_to_total_lipids_ratio_in_very_large_HDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides to total lipids ratio in very large HDL	EFO_0004530	-	-	DNA methylation	Triglycerides to total lipids ratio in very large HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	639	1	-	48	-	639	639	-	-	-	-	-
Triglycerides_to_total_lipids_ratio_in_large_HDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides to total lipids ratio in large HDL	EFO_0004530	-	-	DNA methylation	Triglycerides to total lipids ratio in large HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	662	1	-	48	-	662	662	-	-	-	-	-
Phospholipids_to_total_lipds_ratio_in_medium_HDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in medium HDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in medium HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	664	1	-	48	-	664	664	-	-	-	-	-
Total_cholesterol_to_total_lipids_ratio_in_medium_HDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol to total lipids ratio in medium HDL	EFO_0004574	-	-	DNA methylation	Total cholesterol to total lipids ratio in medium HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	669	1	-	48	-	669	669	-	-	-	-	-
Cholesterol_esters_to_total_lipids_ratio_in_medium_HDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in medium HDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in medium HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-
Free_cholesterol_to_total_lipids_ratio_in_medium_HDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in medium HDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in medium HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	660	1	-	48	-	660	660	-	-	-	-	-
Triglycerides_to_total_lipids_ratio_in_medium_HDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides to total lipids ratio in medium HDL	EFO_0004530	-	-	DNA methylation	Triglycerides to total lipids ratio in medium HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-
Phospholipids_to_total_lipds_ratio_in_small_HDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in small HDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in small HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-
Total_cholesterol_to_total_lipids_ratio_in_small_HDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol to total lipids ratio in small HDL	EFO_0004574	-	-	DNA methylation	Total cholesterol to total lipids ratio in small HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	669	1	-	48	-	669	669	-	-	-	-	-
Cholesterol_esters_to_total_lipids_ratio_in_small_HDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in small HDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in small HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	669	1	-	48	-	669	669	-	-	-	-	-
Free_cholesterol_to_total_lipids_ratio_in_small_HDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in small HDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in small HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-
Triglycerides_to_total_lipids_ratio_in_small_HDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides to total lipids ratio in small HDL	EFO_0004530	-	-	DNA methylation	Triglycerides to total lipids ratio in small HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-
Mean_diameter_for_VLDL_particles__nm___FOM1	Battram T	ARIES	-	09/04/2019	Mean diameter for VLDL particles	EFO_0008594	-	-	DNA methylation	Mean diameter for VLDL particles	Age and technical covariates	Beta values	nm	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Mean_diameter_for_LDL_particles__nm___FOM1	Battram T	ARIES	-	09/04/2019	Mean diameter for LDL particles	EFO_0007677	-	-	DNA methylation	Mean diameter for LDL particles	Age and technical covariates	Beta values	nm	Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-
Serum_total_cholesterol__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Serum total cholesterol	EFO_0004574	-	-	DNA methylation	Serum total cholesterol	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Total_cholesterol_in_HDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol in HDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Total_cholesterol_in_HDL2__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol in HDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-
Total_cholesterol_in_HDL3__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol in HDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-
Esterified_cholesterol__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Esterified cholesterol	EFO_0008589	-	-	DNA methylation	Esterified cholesterol	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	660	1	-	48	-	660	660	-	-	-	-	-
Free_cholesterol__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Free cholesterol	EFO_0008591	-	-	DNA methylation	Free cholesterol	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	660	1	-	48	-	660	660	-	-	-	-	-
Triglycerides_in_LDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides in LDL	EFO_0004530	-	-	DNA methylation	Triglycerides in LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-
Total_phosphoglycerides__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total phosphoglycerides	-	-	-	DNA methylation	Total phosphoglycerides	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	659	1	-	48	-	659	659	-	-	-	-	-
Phosphatidylcholine_and_other_cholines__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Phosphatidylcholine and other cholines	-	-	-	DNA methylation	Phosphatidylcholine and other cholines	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	653	1	-	48	-	653	653	-	-	-	-	-
Total_cholines__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total cholines	-	-	-	DNA methylation	Total cholines	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	660	1	-	48	-	660	660	-	-	-	-	-
Apolipoprotein_A_I__g_l___FOM1	Battram T	ARIES	-	09/04/2019	Apolipoprotein A I	EFO_0004614	-	-	DNA methylation	Apolipoprotein A I	Age and technical covariates	Beta values	g/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-
Estimated_description_of_fatty_acid_chain_length__not_actual_carbon_number__FOM1	Battram T	ARIES	-	09/04/2019	Estimated description of fatty acid chain length not actual carbon number	-	-	-	DNA methylation	Estimated description of fatty acid chain length not actual carbon number	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	658	1	-	48	-	658	658	-	-	-	-	-
Estimated_degree_of_unsaturation__FOM1	Battram T	ARIES	-	09/04/2019	Estimated degree of unsaturation	-	-	-	DNA methylation	Estimated degree of unsaturation	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	659	1	-	48	-	659	659	-	-	-	-	-
X18_2__linoleic_acid__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	18:2 linoleic acid	EFO_0006807	-	-	DNA methylation	18:2 linoleic acid	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	659	1	-	48	-	659	659	-	-	-	-	-
Omega_6_fatty_acids__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Omega 6 fatty acids	EFO_0005680	-	-	DNA methylation	Omega 6 fatty acids	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	659	1	-	48	-	659	659	-	-	-	-	-
Ratio_of_18_2_linoleic_acid_to_total_fatty_acids__percent___FOM1	Battram T	ARIES	-	09/04/2019	Ratio of 18:2 linoleic acid to total fatty acids	-	-	-	DNA methylation	Ratio of 18:2 linoleic acid to total fatty acids	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	658	1	-	48	-	658	658	-	-	-	-	-
Ratio_of_omega_3_fatty_acids_to_total_fatty_acids__percent___FOM1	Battram T	ARIES	-	09/04/2019	Ratio of omega 3 fatty acids to total fatty acids	-	-	-	DNA methylation	Ratio of omega 3 fatty acids to total fatty acids	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	649	1	-	48	-	649	649	-	-	-	-	-
Ratio_of_omega_6_fatty_acids_to_total_fatty_acids__percent___FOM1	Battram T	ARIES	-	09/04/2019	Ratio of omega 6 fatty acids to total fatty acids	-	-	-	DNA methylation	Ratio of omega 6 fatty acids to total fatty acids	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	658	1	-	48	-	658	658	-	-	-	-	-
Ratio_of_polyunsaturated_fatty_acids_to_total_fatty_acids__percent___FOM1	Battram T	ARIES	-	09/04/2019	Ratio of polyunsaturated fatty acids to total fatty acids	-	-	-	DNA methylation	Ratio of polyunsaturated fatty acids to total fatty acids	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	658	1	-	48	-	658	658	-	-	-	-	-
Ratio_of_monounsaturated_fatty_acids_to_total_fatty_acids__percent___FOM1	Battram T	ARIES	-	09/04/2019	Ratio of monounsaturated fatty acids to total fatty acids	-	-	-	DNA methylation	Ratio of monounsaturated fatty acids to total fatty acids	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	656	1	-	48	-	656	656	-	-	-	-	-
Ratio_of_saturated_fatty_acids_to_total_fatty_acids__percent___FOM1	Battram T	ARIES	-	09/04/2019	Ratio of saturated fatty acids to total fatty acids	-	-	-	DNA methylation	Ratio of saturated fatty acids to total fatty acids	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	658	1	-	48	-	658	658	-	-	-	-	-
Glucose__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Glucose	EFO_0004468	-	-	DNA methylation	Glucose	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	660	1	-	48	-	660	660	-	-	-	-	-
Citrate__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Citrate	-	-	-	DNA methylation	Citrate	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-
Glutamine__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Glutamine	EFO_0009768	-	-	DNA methylation	Glutamine	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Histidine__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Histidine	EFO_0009769	-	-	DNA methylation	Histidine	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-
Isoleucine__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Isoleucine	EFO_0009793	-	-	DNA methylation	Isoleucine	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	665	1	-	48	-	665	665	-	-	-	-	-
Valine__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Valine	EFO_0009792	-	-	DNA methylation	Valine	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Phenylalanine__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Phenylalanine	EFO_0005001	-	-	DNA methylation	Phenylalanine	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	669	1	-	48	-	669	669	-	-	-	-	-
Tyrosine__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Tyrosine	EFO_0005058	-	-	DNA methylation	Tyrosine	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	669	1	-	48	-	669	669	-	-	-	-	-
Creatinine__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Creatinine	EFO_0004518	-	-	DNA methylation	Creatinine	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-
Albumin___signal_area___FOM1	Battram T	ARIES	-	09/04/2019	Albumin signal area	-	-	-	DNA methylation	Albumin signal area	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
